IDENTIFI|W_PERS|REGION|POB_URB|PRVNC|AGL_URB|BHCV01|BHCV02|BHCV03|BHCV04|BHCV05|BHCV06|BHCV07|BHCV08|BHCV09|BHCV10|BHCV11|BHHO01|BHHO02|BHHO03|CNTDDCOMP|CNTDD1665|TIPO_H|RANGOING|NBI_TOTAL|NBI_1|NBI_2|NBI_3|NBI_4|BHCH04J|BHCH05J|GRUPEDAD_J|BHCH07J|NIVINSTR_J|COB_SALUD_J|CONDACT_J|CAT_OCUP_J|BHSL12|BHSL13|BHCH03|BHCH04|BHCH05|GRUPEDAD|BHCH07|NIVINSTR|COB_SALUD|CONDACT|CAT_OCUP|BISL12|BISL13|BISG01|BISG02|BISG03|BISG04|BIAC01|BIAC02|BIAC03|BIAC04|BIAC05|BIAC06|BIAC07_01|BIAC07_02|BIAC07_03|BIAC07_04|BIAC07_05|BIAC07_06|BITA01|BITA02|BITA03|BITA04|BITA05|BITA06|BITA07|BITA08|BITA09_01|BITA09_02|PV_TA|P1A_TA|P1M_TA|BIBA01|BIBA02|BIBA03|BIBA04|BIBA05|BIBA06|BIBA07_01|BIBA07_02|BIBA07_03|BIBA08_01|BIBA08_02|BIBA08_03|BIBA08_04|BIBA09_01|BIBA09_02|BIBA09_03|BIBA09_04|BIBA14_01|BIBA14_02|PV_BA|P1A_BA|P1M_BA|ABU_C|ABU_V|ABU_W|AB_ES|AB_FS|AB_TC|CE_EXC_C|CE_EXC_V|CE_EXC_W|CE_EXC_ES|CE_EXC_FS|CE_EXC_TC|BITR01|BITR02|BITR03|BITR04|BITR05|BITR06|BITR07_01|BITR07_02|BITR07_03|BITR07_04|BITR07_05|BITR07_09|BITR08|BITR09_01|BITR09_02|PV_TR|P1A_TR|P1M_TR|BIES01|BIES02|BIES03|BIES04|BIES05|BIES06|BIES07_01|BIES07_02|BIES07_03|BIES07_04|BIES07_05|BIES07_09|BIES08|BIES09_01|BIES09_02|PV_ES|P1A_ES|P1M_ES|BIMA01|BIMA02|BIMA03|BIMA04|BIMA05|BIMA06|BIMA07|BIMA08|BIMA09|BIMA10|BIMA11|BIMA12|BIMA13|BIMA14|BIMA15|BIMA16|BIMA17_01|BIMA17_02|PV_MA|P1A_MA|P1M_MA|BICO01|BICO02|BICO03|BICO04|BICO05|BICO06|BICO07|BICO08|BICO09|BICO10|BICO11|BICO12|BICO13|BICO14|BICO15|BICO16|BICO17_01|BICO17_02|PV_CO|P1A_CO|P1M_CO|BIPB01|BIPB02|BIPB03|BIPB04|BIPB05|BIPB06|BIPB07|BIPB08|BIPB09|BIPB10|BIPB11|BIPB12|BIPB13|BIPB14|BIPB15|BIPB16|BIPB17_01|BIPB17_02|PV_PB|P1A_PB|P1M_PB|BIEX01|BIEX02|BIEX03|BIEX04|BIEX05|BIEX06|BIEX07|BIEX08|BIEX09|BIEX10|BIEX11|BIEX12|BIEX13|BIEX14|BIEX15|BIEX16|BIEX17_01|BIEX17_02|PV_EX|P1A_EX|P1M_EX|BIIN01|BIIN02|BIIN03|BIIN04|BIIN05|PV_IN|P1A_IN|P1M_IN|BIOD01_01|BIOD01_02|BIOD01_03|PV_ANX|P1A_ANX|P1M_ANX|BIOD02_01|BIOD02_02|BIOD02_03|PV_OA|P1A_OA|P1M_OA|BIOD03_01|BIOD03_02|BIOD03_03|PV_CK|P1A_CK|P1M_CK|BIOD04_01|BIOD04_02|BIOD04_03|PV_AL|P1A_AL|P1M_AL|BIOD05_01|BIOD05_02|BIOD05_03|BIBA10|BIBA11|BIBA12|BIBA13|BIIM01|BIIM02|BIIM03|BIIM04|BIDT01|BIDT02_01|BIDT02_02|BIDT02_03|BIDT02_04|BIDT02_05|BIDT02_06|BIDT02_07|BIDT02_08|BIDT02_09|BIDT02_10|BIDT02_11|BIDT02_12|BIDT02_13|BIDT03
34815812552|626|3|3|66|8|1|4|1|2|1|1|1|1|1|1|1|1|4|3|5|4|4|7|0|0|0|0|0|1|43|4|2|7|3|1|2|3||1|1|43|4|2|7|3|1|2|3||1|2|2|1|2||2|2||2|1|1|1|1|1|1|2||||||||3|3|2|2|2|1|3|13|1|2||2|3|3|888|888|888|2|2|888|888|2|3|3|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|||||||||||||2|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
34972293370|1285|1|1|2|1|3|3|1|1|1|1|1|1|1|1|1|1|3|1|2|1|2|6|0|0|0|0|0|1|73|6|2|7|3|3||||2|2|64|5|2|7|3|1|2|1|2|3|2|2|2|2||2|2||2|1|2|3|3|3|3|2||||||||3|3|2|2|2|1|3|18|1|2||0|1|0|888|0.125|888|2|888|888|888|2|2|3|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|||||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
96819338532|400|4|4|54|8|1|3|2|4|1|2|1|1|1|1|2|1|3|2|2|2|6|5|0|0|0|0|0|2|59|5|5|2|3|3||||3|1|31|3|6|2|8|2||||3|2|2|2|2||2|2||2|2|3|1|1|3|3|1|3|13|3|||2||2|3|1|2|2|1|9|13|1|2||0|4|0|888|888|888|2|888|6|888|2|2|3|1|1|1|2|1|2|2|1|1|2|1|2|2|1|1|2|||||||||||||2|3|2|2|2|2|||||||||||||2|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||2|3|2|2|2|2||||||||||||||||2|3|2|2|2|2||||||||||||||||2|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
16817002751|252|6|4|78|8|1|3|1|4|1|1|1|1|1|1|1|1|3|2|5|4|5|11|0|0|0|0|0|1|43|4|1|2|3|1|3|2||2|2|41|4|1|2|8|1|3|2||3|2|2|2|2||2|2||2|3|3|3|3|3|3|2||||||||3|3|2|2|2|1|3|15|1|1|1|3|0|0|888|888|888|2|6|888|888|2|3|3|1|1|1|2|2|2|2|2|2|1|2|2|2|1|1|2|||||||||||||9|3|2|2|2|2|||||||||||||9|3|2|2|2|2||||||||||||||||9|3|2|2|2|2||||||||||||||||9|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
35113539647|561|2|3|30|8|3|3|2|2|1|1|1|1|1|1|1|1|3|1|2|2|2|12|0|0|0|0|0|1|33|3|2|6|3|1|3|3||1|1|33|3|2|6|3|1|3|3||2|2|2|2|2||2|2||2|3|3|3|3|3|3|2||||||||3|3|2|2|2|1|3|16|1|2||0|8|0|888|888|888|2|888|3|888|2|2|3|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|||||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
74945216897|767|1|1|2|1|3|2|1|8|1|1|1|1|1|1|1|1|2|1|1|1|1|12|0|0|0|0|0|1|32|3|6|5|3|1|3|3||1|1|32|3|6|5|3|1|3|3||2|2|2|2|1|2|2|1|2|2|1|1|1|1|1|1|1|3|14|3|||2||1|3|1|2|2|1|3|16|1|2||4|0|0|888|888|888|2|888|6|888|2|1|2|1|1|1|2|1|2|2|1|1|2|1|2|2|1|1|2|||||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|1|3|18|6|3||||||||||||1|2|1|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
65960320289|1405|1|1|2|1|3|4|1|8|1|1|1|1|1|1|1|1|4|3|4|2|4|99|0|0|0|0|0|1|55|5|2|7|1|1|3|3||1|1|55|5|2|7|1|1|3|3||3|2|2|2|2||2|2||2|1|1|1|1|1|1|2||||||||3|3|2|2|2|1|3|20|1|2||2|5|0|888|3|888|2|888|5|888|2|2|3|1|1|1|2|1|2|2|1|1|2|1|2|2|1|1|2|||||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
88564480346|412|3|3|66|8|1|3|1|3|1|1|1|1|1|1|1|1|3|2|4|3|7|7|0|0|0|0|0|2|56|5|3|5|3|1|3|2||3|2|22|2|6|6|8|3||||1|2|2|2|2||2|2||2|1|1|2|2|2|2|2||||||||3|3|2|2|2|1|3|18|3||||||||||||||2|2|1|2|2|||||||||||||2|||||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||||||888||||2|||||||||||||||
51964488578|317|3|4|38|8|1|3|1|2|2|1|1|1|1|1|1|1|3|2|3|1|3|4|0|0|0|0|0|1|80|6|2|3|3|3||||8|1|20|2|6|4|8|3||||2|2|2|2|2||2|2||2|2|2|3|3|3|3|2||||||||3|3|2|2|2|2|||||||||||||||||2|3|2|2|2|||||||||||||2|||||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||||||888|||||||||||||||||||
66096954563|423|4|3|18|8|1|3|1|4|1|1|1|1|1|1|1|1|3|3|4|3|4|7|0|0|0|0|0|1|53|5|2|5|3|3||||1|1|53|5|2|5|3|3||||4|1|2|2|2||2|2||2|3|3|3|3|3|3|1|3|17|3|||2||3|3|1|2|2|1|3|26|1|1|2|0|4|0|888|888|888|2|888|4.5|888|2|2|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|||||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
78512067210|659|4|3|18|8|1|2|1|4|1|2|1|1|1|1|1|1|2|2|7|5|4|11|1|0|1|0|0|1|45|4|2|4|3|1|3|3||1|1|45|4|2|4|3|1|3|3||2|2|1|2|2||2|2||2|9|9|9|9|9|9|1|2|45|1|3|1|2||2|3|1|1|1|1|3|16|1|2||1|0|0|6|888|888|2|888|888|888|2|3|3|1|1|1|2|2|2|2|2|2|1|2|2|1|2|1|2|||||||||||||3|3|2|2|2|2|||||||||||||9|9|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
39968918916|1157|3|2|90|5|1|2|2|4|2|2|2|1|1|2|3|1|2|2|6|6|6|7|1|0|0|1|0|2|50|5|3|1|6|3||||3|2|17|2|6|3|6|1|3|2||3|2|2|2|1|2|2|2||2|9|9|1|2|2|2|2||||||||9|9|2|2|2|1|3|15|2||||||||||||||9|9|1|1|2|||||||||||||2|||||||||||||9|9|2|2|2|2|||||||||||||9|9|2|2|2|2||||||||||||||||9|9|2|2|2|2||||||||||||||||9|9|2|2|2|2||||||||||||||||9|9|2|2|2|2||||||||||||||||9|9|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
29253515577|245|3|4|46|8|1|3|2|6|2|2|1|1|1|1|1|1|3|2|5|4|7|9|0|0|0|0|0|2|89|6|5|3|3|3||||3|2|50|5|6|5|3|1|3|1|1|1|2|2|2|2||2|2||2|3|3|3|3|3|3|2||||||||3|3|2|2|2|2|||||||||||||||||3|3|2|2|2|||||||||||||2|||||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||||||888|||||||||||||||||||
28652964434|7189|1|4|6|1|1|4|1|3|9|1|1|1|1|1|1|1|4|4|5|4|5|15|0|0|0|0|0|1|68|6|3|3|3|1|2|3||2|2|65|5|3|4|3|1|2|3||3|2|2|2|2||2|2||2|2|3|3|3|9|9|2||||||||3|3|2|2|2|1|3|52|1|2||3|0|0|888|888|888|2|1|888|888|2|1|3|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|||||||||||||2|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
38301379298|577|5|2|50|4|3|3|1|1|9|1|1|1|1|1|1|1|3|1|2|2|2|16|0|0|0|0|0|1|32|3|1|7|3|1|3|3||2|2|29|3|1|7|3|1|3|3||3|2|2|2|2||1|1|2|2|1|1|2|3|3|3|1|3|17|3|||2||3|3|1|2|2|1|3|16|1|2||4|2|2|888|2|888|1|3|3|888|1|2|2|1|1|1|2|2|2|2|2|2|2|2|2|2|1|1|1|1|1|||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|1|3|21|6|3||||||||||||2|2|1|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
87209152182|205|4|3|18|8|1|7|2|4|1|2|1|1|1|1|1|2|7|2|4|2|4|6|0|0|0|0|0|1|29|3|2|3|3|1|3|2||2|2|29|3|2|5|8|3||||3|2|2|2|2||2|2||2|3|3|9|9|9|9|1|3|22|1|30|3|1|99|2|3|1|1|1|1|3|16|1|2||1|1|0|888|888|888|2|6|2|888|2|3|3|1|1|1|2|2|2|2|1|1|1|2|2|2|1|1|2|||||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888|||||||||||||||||||
62915076495|335|4|4|54|8|1|3|1|4|1|2|1|1|1|1|2|1|3|2|4|2|4|7|0|0|0|0|0|1|41|4|2|5|3|1|1|3||2|2|36|4|2|7|3|1|1|2||2|2|2|2|2||2|2||2|2|2|2|2|2|2|2||||||||2|3|2|2|2|2|||||||||||||||||2|3|2|2|2|||||||||||||2|||||||||||||2|3|2|2|2|2|||||||||||||2|3|2|2|2|2||||||||||||||||2|3|2|2|2|2||||||||||||||||2|3|2|2|2|2||||||||||||||||2|3|2|2|2|2||||||||||||||||2|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||||||888|||||||||||||||||||
11811882231|604|4|4|54|8|1|4|1|5|1|2|1|1|1|1|2|1|4|3|4|3|4|7|0|0|0|0|0|1|54|5|2|3|8|1|2|3||3|1|21|2|6|4|8|1|3|1|2|3|2|2|2|2||2|2||2|2|3|3|3|3|3|1|3|18|3|||1|3|2|3|1|2|2|1|3|18|1|2||4|0|0|888|888|888|2|3|888|888|2|2|3|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|||||||||||||2|3|2|2|2|2|||||||||||||2|3|2|2|2|2||||||||||||||||2|3|2|2|2|2||||||||||||||||2|3|2|2|2|2||||||||||||||||2|3|2|2|2|2||||||||||||||||2|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
46184828966|2954|1|4|6|1|1|6|1|3|1|1|1|1|1|1|2|1|6|3|2|1|8|11|0|0|0|0|0|1|45|4|4|6|3|1|2|3||1|1|45|4|4|6|3|1|2|3||4|1|1|1|2||1|1|2|1|2|2|3|3|3|3|1|3|14|1|30|20|1|30|2|3|1|1|1|1|3|14|1|2||1|4|0|888|1|888|2|888|4.5|888|2|2|2|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|1|1|1|||||||||||2|2|2|2|2|1|2||3|18|3||||||||2|3|1|2|2|1|3|16|4|3||||||||||||1|2|1|2|2|1|3|20|5|3||||||||||||3|3|1|2|2|2||||||||||||||||3|3|2|2|2|1|3|22|6|3||||||||||||2|3|1|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||20|0|2|2|888||||2|||||||||||||||
78193942676|3624|1|4|6|1|1|3|1|1|1|2|1|1|1|2|2|1|3|2|6|3|7|99|2|0|0|1|1|2|50|5|5|3|3|1|3|2||3|2|24|2|6|4|8|1|3|2||3|2|2|2|2||2|1|9|2|2|2|2|2|3|3|1|3|15|3|||9||9|3|1|2|2|1|3|15|1|2||99|99|1|888|888|888|2|888|888|5|2|9|3|1|1|1|2|2|1|2|1|1|2|2|1|2|1|1|2|||||||||||||9|2|2|2|2|2|||||||||||||2|3|2|2|2|2||||||||||||||||1|1|2|2|2|2||||||||||||||||1|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||9|9|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
85439494202|632|1|1|2|1|3|2|1|8|1|1|1|1|1|1|1|1|2|1|1|1|1|3|0|0|0|0|0|2|61|5|4|3|3|1|3|2||1|2|61|5|4|3|3|1|3|2||2|2|2|2|2||2|2||2|3|3|3|3|3|3|1|3|40|1|5|2|1|20|1|3|1|1|1|1|3|20|2||||||||||||||1|3|1|1|2|||||||||||||2|||||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
84760911660|467|3|3|66|8|1|3|1|2|1|1|1|1|1|1|1|1|3|2|3|3|6|11|0|0|0|0|0|1|55|5|3|5|3|1|3|1|2|3|2|27|3|6|6|1|1|3|1|2|3|2|1|1|1|2|2|1|1|2|9|9|1|9|9|9|1|3|17|1|30|10|1|10|3|3|1|1|1|1|3|17|1|2||1|0|0|888|888|888|2|3|888|888|2|3|3|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|||||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||30|0|2|2|888||||2|||||||||||||||
18941657638|196|4|3|34|8|1|4|2|4|2|2|2|1|1|1|1|1|4|3|4|3|4|6|0|0|0|0|0|1|50|5|2|3|3|1|3|2||3|2|17|2|6|4|3|3||||3|2|2|2|2||2|2||2|2|2|2|2|2|2|2||||||||2|3|2|2|2|2|||||||||||||||||2|3|2|2|2|||||||||||||2|||||||||||||2|3|2|2|2|2|||||||||||||2|3|2|2|2|2||||||||||||||||2|3|2|2|2|2||||||||||||||||2|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||||||888|||||||||||||||||||
52730070728|299|3|3|66|8|1|2|1|4|1|2|2|1|2||||2|1|4|2|4|9|1|0|0|1|0|1|29|3|2|4|3|1|3|2||2|2|29|3|2|5|3|3||||3|2|2|1|2||2|2||2|1|1|1|1|1|1|2||||||||2|3|2|2|2|1|3|18|1|2||1|0|0|888|888|888|2|3|888|888|2|1|3|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|||||||||||||1|3|2|2|2|2|||||||||||||1|3|2|2|2|2||||||||||||||||1|3|2|2|2|2||||||||||||||||1|3|2|2|2|2||||||||||||||||1|3|2|2|2|2||||||||||||||||1|3|2|2|2|2|||||2|2|2|1|20|3|1|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
40290686851|535|3|3|66|8|2|3|1|3|1|1|1|1|1|1|1|1|3|3|6|4|7|6|1|1|0|0|0|1|60|5|3|5|8|3||||1|1|60|5|3|5|8|3||||2|2|1|1|2||2|2||2|3|3|3|3|3|3|1|3|25|1|6|10|1|15|2|3|1|1|1|1|3|18|1|2||0|3|0|888|888|888|2|888|6|888|2|2|3|1|1|1|2|1|2|2|1|1|2|1|2|2|1|1|2|||||||||||||2|3|2|2|2|2|||||||||||||2|3|2|2|2|2||||||||||||||||1|3|2|2|2|2||||||||||||||||1|3|2|2|2|2||||||||||||||||1|3|2|2|2|2||||||||||||||||2|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
58222766017|2967|1|1|2|1|3|4|1|2|1|1|1|1|1|1|1|1|4|3|5|3|4|16|0|0|0|0|0|2|44|4|2|7|3|1|3|2||1|2|44|4|2|7|3|1|3|2||1|2|1|2|2||2|2||2|2|2|2|2|2|2|1|3|16|3|||2||3|3|1|2|2|1|3|18|1|2||4|4|0|888|888|888|2|1|1|888|2|1|3|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|1|1|2|||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||2|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|0|2|2|888||||2|||||||||||||||
61847126687|214|6|4|62|8|1|3|1|6|1|1|1|1|1|1|2|1|3|2|2|2|8|2|0|0|0|0|0|1|60|5|3|3|8|1|2|3||1|1|60|5|3|3|8|1|2|3||4|2|2|1|2||2|1|2|2|3|3|3|3|3|3|1|3|16|1|30|15|1|44|3|3|1|1|1|1|3|16|3||||||||||||||3|3|1|2|2|||||||||||||1|1|2|||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||||||0|0|2|2|1|2|2|2|2|1|2|2|2|2|2|2|2|2|1|
86270107700|960|3|3|66|8|3|5|1|2|1|1|1|1|1|1|1|1|5|4|6|6|6|9|0|0|0|0|0|2|46|4|3|4|8|3||||3|1|22|2|6|6|8|1|3|3||3|2|2|2|1|2|2|1|2|2|3|3|1|3|1|3|1|3|17|1|30|5|1|1|2|3|1|1|1|1|3|17|1|2||4|0|0|888|888|888|2|18|888|888|2|2|3|1|1|1|1|2|2|2|1|1|1|2|2|2|1|1|2|||||||||||||1|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|1|16|2|30|0|2|2|888||||2|||||||||||||||
20244121809|139|3|3|86|8|1|3|1|1|1|1|1|1|1|1|1|1|3|2|4|2|4|99|0|0|0|0|0|1|47|4|2|5|3|1|3|2||2|2|46|4|2|7|3|1|1|2||2|2|2|2|2||2|2||2|3|3|3|3|3|3|2||||||||3|3|2|2|2|1|3|21|3||||||||||||||3|3|1|2|2|||||||||||||2|||||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||||||888||||2|||||||||||||||
64146167986|171|2|4|30|8|3|2|1|4|1|2|1|1|1|1|1|1|2|1|1|1|1|7|0|0|0|0|0|2|33|3|2|6|3|1|2|2||1|2|33|3|2|6|3|1|2|2||3|2|2|1|2||2|2||2|9|9|9|9|9|9|2||||||||3|3|2|2|2|2|||||||||||||||||3|3|2|2|2|||||||||||||2|||||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|1|99|9|1|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||||||888||||2|||||||||||||||
49076135928|670|3|3|66|8|1|4|1|2|1|1|1|1|1|1|2|1|4|3|4|4|4|4|0|0|0|0|0|1|53|5|1|2|8|1|3|2||3|1|30|3|6|5|8|1|3|2||3|2|2|2|2||2|2||2|2|2|2|2|2|2|1|3|19|1|4|3|1|11|2|3|1|1|1|1|3|17|1|2||4|4|0|888|888|888|2|3|6|888|2|1|3|1|1|1|2|1|2|2|1|1|2|1|2|2|1|1|2|||||||||||||3|3|2|2|2|2|||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2||||||||||||||||3|3|2|2|2|2|||||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||2|2|2|2|||0||2|2|888||||2|||||||||||||||
